temp_c,temp_f,timestamp
20.937,69.6866,2022-01-16 15:34:12.221224
20.937,69.6866,2022-01-16 15:34:19.900454
21.0,69.8,2022-01-16 15:34:27.581161
22.312,72.1616,2022-01-16 15:34:30.461157
21.937,71.48660000000001,2022-01-16 15:34:33.341054
21.687,71.0366,2022-01-16 15:34:36.221158
21.562,70.8116,2022-01-16 15:34:39.101156
21.5,70.7,2022-01-16 15:34:41.981136
21.375,70.475,2022-01-16 15:34:44.860974
21.312,70.36160000000001,2022-01-16 15:34:47.741144
21.312,70.36160000000001,2022-01-16 15:34:50.621153
21.25,70.25,2022-01-16 15:34:53.501177
21.25,70.25,2022-01-16 15:34:56.381177
21.25,70.25,2022-01-16 15:34:59.261176
21.187,70.1366,2022-01-16 15:35:02.141160
21.187,70.1366,2022-01-16 15:35:05.100867
21.187,70.1366,2022-01-16 15:35:07.981163
21.187,70.1366,2022-01-16 15:35:10.861173
21.187,70.1366,2022-01-16 15:35:13.741276
21.125,70.025,2022-01-16 15:35:16.621166
21.125,70.025,2022-01-16 15:35:19.501161
21.125,70.025,2022-01-16 15:35:22.381131
21.125,70.025,2022-01-16 15:35:25.300965
21.062,69.9116,2022-01-16 15:35:28.141262
21.062,69.9116,2022-01-16 15:35:31.021139
21.062,69.9116,2022-01-16 15:35:33.901191
21.062,69.9116,2022-01-16 15:35:36.780828
21.062,69.9116,2022-01-16 15:35:39.661155
21.062,69.9116,2022-01-16 15:35:42.541150
21.062,69.9116,2022-01-16 15:35:45.421168
21.0,69.8,2022-01-16 15:35:48.301229
21.0,69.8,2022-01-16 15:35:51.181220
21.0,69.8,2022-01-16 15:35:54.061179
21.062,69.9116,2022-01-16 15:35:56.980966
21.0,69.8,2022-01-16 15:35:59.821165
21.0,69.8,2022-01-16 15:36:02.701524
21.0,69.8,2022-01-16 15:36:05.581171
21.0,69.8,2022-01-16 15:36:08.461164
21.0,69.8,2022-01-16 15:36:11.341215
21.0,69.8,2022-01-16 15:36:14.221180
21.0,69.8,2022-01-16 15:36:17.101158
21.0,69.8,2022-01-16 15:36:19.981169
21.0,69.8,2022-01-16 15:36:22.861167
21.0,69.8,2022-01-16 15:36:25.780976
21.0,69.8,2022-01-16 15:36:28.621171
21.0,69.8,2022-01-16 15:36:31.501164
21.0,69.8,2022-01-16 15:36:34.381173
20.937,69.6866,2022-01-16 15:36:37.301276
20.937,69.6866,2022-01-16 15:36:45.021172
20.937,69.6866,2022-01-16 15:36:52.740978
20.937,69.6866,2022-01-16 15:37:00.461242
20.875,69.575,2022-01-16 15:37:08.141189
20.875,69.575,2022-01-16 15:37:15.861388
20.875,69.575,2022-01-16 15:37:23.580643
20.875,69.575,2022-01-16 15:37:31.261198
20.812,69.4616,2022-01-16 15:37:38.941179
20.812,69.4616,2022-01-16 15:37:46.621178
20.875,69.575,2022-01-16 15:37:54.301227
20.812,69.4616,2022-01-16 15:38:01.981166
20.812,69.4616,2022-01-16 15:38:09.661212
20.812,69.4616,2022-01-16 15:38:17.341183
20.812,69.4616,2022-01-16 15:38:25.021197
20.812,69.4616,2022-01-16 15:38:32.701165
20.812,69.4616,2022-01-16 15:38:40.381187
20.812,69.4616,2022-01-16 15:38:48.061160
20.812,69.4616,2022-01-16 15:38:55.741173
20.75,69.35,2022-01-16 15:39:03.421159
20.75,69.35,2022-01-16 15:39:11.141046
20.75,69.35,2022-01-16 15:39:18.861140
20.75,69.35,2022-01-16 15:39:26.541132
20.75,69.35,2022-01-16 15:39:34.221156
20.687,69.23660000000001,2022-01-16 15:39:41.901181
20.687,69.23660000000001,2022-01-16 15:39:49.581170
20.687,69.23660000000001,2022-01-16 15:39:57.261168
20.687,69.23660000000001,2022-01-16 15:40:04.941154
20.687,69.23660000000001,2022-01-16 15:40:12.621198
20.625,69.125,2022-01-16 15:40:20.300573
20.625,69.125,2022-01-16 15:40:27.981392
20.625,69.125,2022-01-16 15:40:35.661168
20.625,69.125,2022-01-16 15:40:43.341171
20.687,69.23660000000001,2022-01-16 15:40:51.021160
20.625,69.125,2022-01-16 15:40:58.701172
20.625,69.125,2022-01-16 15:41:06.381157
20.625,69.125,2022-01-16 15:41:14.061417
20.625,69.125,2022-01-16 15:41:21.741176
20.625,69.125,2022-01-16 15:41:29.421854
20.625,69.125,2022-01-16 15:41:37.101132
20.625,69.125,2022-01-16 15:41:44.781173
20.562,69.0116,2022-01-16 15:41:52.461556
20.562,69.0116,2022-01-16 15:42:00.141156
20.562,69.0116,2022-01-16 15:42:07.860966
20.562,69.0116,2022-01-16 15:42:15.581194
20.562,69.0116,2022-01-16 15:42:23.261185
20.5,68.9,2022-01-16 15:42:30.941270
20.5,68.9,2022-01-16 15:42:38.621174
20.5,68.9,2022-01-16 15:42:46.301174
20.562,69.0116,2022-01-16 15:42:53.981171
20.562,69.0116,2022-01-16 15:43:01.661160
20.562,69.0116,2022-01-16 15:43:09.341179
20.562,69.0116,2022-01-16 15:43:17.021164
20.625,69.125,2022-01-16 15:43:24.710633
20.625,69.125,2022-01-16 15:43:32.381180
